"Comparison","Z","P.unadj","P.adj"
"Cancer (Floating) - Incidental Fimbriae",3.79143610915813,0.000149778681775798,0.00823782749766891
"Fimbriae.C - Incidental Fimbriae",5.16986766402485,2.34259823434931e-07,1.28842902889212e-05
"FT.C - Incidental Fimbriae",3.91587344911414,9.00774916715539e-05,0.00495426204193546
"Cancer (Floating) - Incidental FT",3.9860753899999,6.71751756274978e-05,0.00369463465951238
"Fimbriae.C - Incidental FT",5.40821367616719,6.36564522141567e-08,3.50110487177862e-06
"FT.C - Incidental FT",4.15928961670862,3.19238908611498e-05,0.00175581399736324
"Incidental FT - Incidental p53sig",-3.37820581816532,0.000729604507114247,0.0401282478912836
"Incidental FT - Incidental STIC",-3.58307840509559,0.000339568628684742,0.0186762745776608
"Incidental Fimbriae - Inv Cancer",-6.53443453413837,6.3850315646436e-11,3.51176736055398e-09
"Incidental FT - Inv Cancer",-7.06101038862475,1.65296235301148e-12,9.09129294156315e-11
"Incidental Fimbriae - p53 Signature.C",-6.62646742908795,3.4381529155486e-11,1.89098410355173e-09
"Incidental FT - p53 Signature.C",-6.90640460868456,4.97090918573271e-12,2.73400005215299e-10
"Incidental p53sig - p53 Signature.C",-4.26553964044293,1.99419601406045e-05,0.00109680780773325
"Incidental STIC - p53 Signature.C",-4.02200498909969,5.77048353407577e-05,0.00317376594374168
"Incidental Fimbriae - STIC.C",-7.49983240248352,6.38994819775516e-14,3.51447150876534e-12
"Incidental FT - STIC.C",-8.05292937591047,8.08355530001143e-16,4.44595541500629e-14
"Incidental p53sig - STIC.C",-3.99719556739517,6.40973443729936e-05,0.00352535394051465
"Incidental STIC - STIC.C",-3.60123156733877,0.000316713320085065,0.0174192326046786
"Incidental Fimbriae - STIL.C",-4.6943543135163,2.67450132916597e-06,0.000147097573104129
"Incidental FT - STIL.C",-4.83302704520518,1.3447251038277e-06,7.39598807105233e-05
