"tSNE1","tSNE2","LESIONS","ROI","BRCA"
-22.1675878353587,-5.81833778718794,"STIC.C","Epithelial","WT"
-22.1761942037108,-5.92446228759132,"STIC.C","Epithelial","WT"
-6.59472795729214,-18.218525583337,"STIC.C","Epithelial","WT"
-5.95633586389319,-18.0261895936313,"Cancer (Floating)","Epithelial","WT"
-6.68306263124022,-18.1075468105814,"Cancer (Floating)","Epithelial","WT"
-9.01570148525172,-5.49916108584442,"Fimbriae.C","Epithelial","WT"
-7.26038075062261,-9.95847936345249,"Fimbriae.C","Epithelial","WT"
-9.15582013199587,-7.1617717542854,"Fimbriae.C","Epithelial","WT"
-22.2606551712338,-6.10861462982423,"Inv Cancer","Epithelial","WT"
-8.8456646311085,-15.6023130240723,"Inv Cancer","Epithelial","WT"
-8.86437145011118,-15.6382955514425,"Inv Cancer","Epithelial","WT"
-6.6979285034169,-18.0195611591307,"Cancer (Floating)","Epithelial","WT"
-3.54100755244348,-10.6449916027772,"STIL.C","Stroma","BRCA2"
-18.5558119446726,-8.90344325283661,"STIL.C","Epithelial","BRCA2"
-4.11878816263384,-11.4434416706536,"STIL.C","Stroma","BRCA2"
-17.9834274779742,-9.117542171338,"STIL.C","Epithelial","BRCA2"
-3.2318385931211,-12.1608043974215,"STIL.C","Stroma","BRCA2"
-18.5573655726372,-9.07212970266641,"STIL.C","Epithelial","BRCA2"
-6.16106636289073,-14.7472933886698,"STIC.C","Stroma","BRCA2"
-19.1226814876101,-9.93512197050652,"STIC.C","Epithelial","BRCA2"
-3.37753905897565,-13.2416887957458,"STIC.C","Stroma","BRCA2"
-19.1026520930627,-10.227606720498,"STIC.C","Epithelial","BRCA2"
-4.53027178067529,-10.0035421889623,"STIC.C","Stroma","BRCA2"
-16.7485568437387,-8.04981929204423,"STIC.C","Epithelial","BRCA2"
-3.40896819069428,-10.5761847275039,"STIC.C","Stroma","BRCA2"
-17.7208882600854,-7.92455863078388,"STIC.C","Epithelial","BRCA2"
-4.92426992993554,-12.6907230731811,"STIC.C","Stroma","BRCA2"
-17.7822530411583,-9.38907160707985,"STIC.C","Epithelial","BRCA2"
-4.15689794837516,-11.4912541902565,"STIC.C","Stroma","BRCA2"
-17.1322509489796,-9.70577053135995,"STIC.C","Epithelial","BRCA2"
-3.0522937872784,-9.86724350209613,"Inv Cancer","Stroma","BRCA2"
-18.9471314989902,-7.84806751272085,"Inv Cancer","Epithelial","BRCA2"
-6.07876700267295,-12.5911484110082,"Inv Cancer","Stroma","BRCA2"
-18.2468116741078,-6.83836649221285,"Inv Cancer","Epithelial","BRCA2"
