"Overall","Gene"
100,"FN1"
70.6374695003459,"EIF4G1"
42.1858420803786,"YBX1"
30.213718686674,"TTYH3"
29.7548903664859,"BASP1"
27.757721074078,"RSPH1"
26.6402767744025,"SULF1"
24.9165341243357,"ENO1"
18.3068997916388,"DLEC1"
17.5255116656776,"APMAP"
17.1295554895705,"CTHRC1"
14.1172546487145,"GPX1"
13.0704224214105,"ECHDC2"
12.1258545540186,"LAPTM4B"
10.6424815447773,"AGR2"
9.81057260169775,"ITGB1"
9.43162802948916,"ADAR"
7.56882686646195,"MTCH2"
7.49666460330422,"H4C12"
6.98412818448837,"BGN"
6.87039916576512,"CDK2AP1"
6.66720284366157,"SFRP2"
6.37878416350506,"WNK2"
6.29463306121379,"CXXC5"
6.12629236933676,"PSMB6"
5.82295247153592,"CCDC47"
5.44739864735064,"ATP5MG"
5.2638300467493,"THY1"
5.18453910303778,"SUPT7L"
4.55670318467658,"COL1A1"
4.45854531944453,"VCAN"
4.22435140851678,"PIFO"
4.12745068628192,"ZFP57"
4.02941169118491,"YWHAQ"
3.90771931446865,"ABHD16A"
3.51581788898214,"DNAJB13"
3.46406688440721,"H2AC17"
3.41740524198405,"EZR"
3.30842414345558,"WNT11"
3.27263628846528,"AMY1A"
3.23165507078648,"TUBB"
2.72515782279798,"CCDC17"
2.66591790731094,"HYDIN"
2.53098800744428,"ALDOA"
2.49530800641053,"CD47"
2.49418665683156,"TNC"
2.40746669597167,"ANAPC4"
2.31437812551584,"BRPF3"
2.30743363014973,"FZD7"
2.23964386645541,"PDXK"
2.08844222792069,"RAB1B"
2.00484715458894,"AK2"
1.94645734317579,"MDFI"
1.70460777701201,"VAMP8"
1.69973298725369,"CFAP100"
1.65614098152338,"SH3RF2"
1.589462920818,"FNDC3B"
1.49486926748161,"PKM"
1.45565914794994,"SPDYE16"
1.42945400474332,"LOXL1"
1.41976456909243,"TAGLN2"
1.40187989006617,"MRPL14"
1.39667633973024,"C7"
1.38200845516408,"CAVIN2"
1.32776620617969,"CCDC107"
1.3060852823574,"P4HTM"
1.30241231529565,"PI3"
1.27743061918423,"OBSCN"
1.22590638904503,"CCDC187"
1.20445260201071,"CCDC137"
1.20133447892655,"AHNAK"
1.19741031644899,"RABL2B"
1.17307352969307,"SPAG6"
1.16212106429304,"ADH1B"
1.15863019199808,"COL8A1"
