Raman Shift (cm⁻¹),Importância
2710.0,6.387364502345005e-05
2711.0,6.384500708856298e-05
2709.0,6.308868994340267e-05
2712.0,6.281820737433447e-05
2708.0,6.184298184419974e-05
2713.0,6.095384685239505e-05
2707.0,6.0394819264146695e-05
2706.0,5.8854252353126605e-05
2714.0,5.844798816932652e-05
2705.0,5.71958644910363e-05
2715.0,5.539064932426382e-05
2704.0,5.532966501114852e-05
2758.0,5.4901213506663455e-05
2759.0,5.473674327406459e-05
2757.0,5.416620448497439e-05
2663.0,5.3783047496835414e-05
2760.0,5.366293983368377e-05
2662.0,5.360590587794583e-05
2664.0,5.358441208609246e-05
2665.0,5.3336853235670416e-05
2853.0,5.320091388710014e-05
799.0,5.319889611529796e-05
798.0,5.319541009607374e-05
2852.0,5.319253980337555e-05
800.0,5.3179809802494484e-05
2703.0,5.316534044136281e-05
801.0,5.3138892688264894e-05
797.0,5.311712807366665e-05
802.0,5.306055837619192e-05
2854.0,5.305705804555834e-05
2851.0,5.303818746955179e-05
803.0,5.290835000757371e-05
2756.0,5.2836923047391634e-05
2666.0,5.27538095341817e-05
2850.0,5.272008533380897e-05
796.0,5.267947142824871e-05
2855.0,5.2679462678472935e-05
2697.0,5.2634231356159285e-05
2909.0,5.260990905283901e-05
804.0,5.259137605908679e-05
2910.0,5.2590469141108505e-05
2696.0,5.2492868114191974e-05
1266.0,5.246759649577279e-05
2911.0,5.242343330460209e-05
2698.0,5.234034551564086e-05
1267.0,5.22802998975221e-05
2661.0,5.225489814890344e-05
2912.0,5.223346853317712e-05
2849.0,5.220788226574048e-05
2908.0,5.22042626088755e-05
1265.0,5.2152909619167584e-05
2761.0,5.2100916352619685e-05
2695.0,5.207191123590247e-05
2716.0,5.205463930082299e-05
2913.0,5.2036839620121585e-05
805.0,5.185093310879112e-05
2856.0,5.185033294554875e-05
2914.0,5.1772991618266854e-05
2694.0,5.153056608620595e-05
334.0,5.149322248869262e-05
1268.0,5.148382394547902e-05
333.0,5.1479462830976276e-05
2848.0,5.142327137404715e-05
335.0,5.1419574178186615e-05
2667.0,5.141313803290977e-05
332.0,5.141162378568056e-05
1264.0,5.1361833891089195e-05
2699.0,5.131347409866e-05
331.0,5.1307372624547885e-05
2915.0,5.128671163380624e-05
2738.0,5.1237867045545825e-05
336.0,5.120601029319741e-05
2739.0,5.1188216545322294e-05
330.0,5.1171555589533935e-05
2693.0,5.1072589585824317e-05
2755.0,5.1064479391001435e-05
329.0,5.0998629524792784e-05
2907.0,5.099397104708973e-05
2737.0,5.088354999641314e-05
795.0,5.0816038681833415e-05
337.0,5.0778128990308446e-05
328.0,5.0775211297385094e-05
2692.0,5.061930708452518e-05
2702.0,5.06089003741922e-05
2734.0,5.058984616933044e-05
2733.0,5.0509940080919035e-05
2736.0,5.0508892326821115e-05
2740.0,5.048908883940599e-05
327.0,5.0483118082820314e-05
2735.0,5.04387439110623e-05
2762.0,5.039782887730673e-05
675.0,5.0352720905721866e-05
2916.0,5.025974649348816e-05
2847.0,5.020881556328156e-05
2857.0,5.0169843598426886e-05
676.0,5.014271848017401e-05
326.0,5.0103493349016876e-05
338.0,5.004215094414486e-05
1263.0,5.003786837309404e-05
2732.0,4.997816709712253e-05
1269.0,4.9928705384577585e-05
806.0,4.985410225569863e-05
2691.0,4.982752047100826e-05
325.0,4.962252042166314e-05
2991.0,4.9531405615443154e-05
2992.0,4.9438161762419916e-05
2668.0,4.940350302876036e-05
2700.0,4.9367914757016456e-05
697.0,4.9310287504170747e-05
698.0,4.9247385044259414e-05
2731.0,4.9182179894297935e-05
2741.0,4.906860054651821e-05
324.0,4.9038480102195826e-05
2990.0,4.9021730474663854e-05
2660.0,4.897345254455443e-05
2717.0,4.892471328841377e-05
339.0,4.8898966494589864e-05
699.0,4.889474997792591e-05
696.0,4.885724507674452e-05
2906.0,4.871348819114274e-05
2754.0,4.866534851556255e-05
2690.0,4.8604407300691334e-05
2763.0,4.843546574466505e-05
700.0,4.843327633813291e-05
2730.0,4.84163176582085e-05
2846.0,4.838010606628567e-05
323.0,4.836940439569193e-05
2989.0,4.835999799219945e-05
2993.0,4.8319078102434374e-05
674.0,4.825733244875675e-05
2917.0,4.8127234359016584e-05
1262.0,4.808982824405588e-05
701.0,4.7972048587327515e-05
677.0,4.7934274583482286e-05
2729.0,4.79334286135098e-05
2685.0,4.7918822671342505e-05
2988.0,4.789591879621302e-05
1347.0,4.782201259294212e-05
2727.0,4.7794484412595164e-05
2726.0,4.77893802927437e-05
2728.0,4.778414496012473e-05
1348.0,4.774484766244049e-05
695.0,4.7717981689564075e-05
2725.0,4.768592604577276e-05
2987.0,4.767052325983804e-05
322.0,4.765864661404103e-05
659.0,4.76337716002423e-05
2701.0,4.7609273529792144e-05
702.0,4.756446462323378e-05
1346.0,4.751423899284818e-05
1270.0,4.749593964168654e-05
2686.0,4.744406550921703e-05
2724.0,4.738298361343528e-05
2669.0,4.7364833169695205e-05
2689.0,4.7328333774362964e-05
1349.0,4.731768299402037e-05
2986.0,4.729536880768079e-05
340.0,4.727316647002379e-05
2753.0,4.7253221033257496e-05
703.0,4.723188897957612e-05
660.0,4.718005113481419e-05
711.0,4.716395498233954e-05
1418.0,4.715010829330246e-05
658.0,4.709936904860364e-05
2858.0,4.709290665537973e-05
710.0,4.7075805341102466e-05
