"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"FN1",1.57526128472221,0.133652083333334,15.9039217223035,2.45520863808885e-49,4.58559317335855e-45,101.288752274106,"Up-regulado"
"MARCKSL1",1.46959618055554,-0.141965773809524,15.2665610955391,4.64697752334333e-46,4.33957996017417e-42,93.8275093269102,"Up-regulado"
"CTHRC1",1.52401996527776,0.106269642857142,15.1151110741133,2.72724206555385e-45,1.69789000194497e-41,92.0778586352961,"Up-regulado"
"ITGB1",1.50997378472221,-0.0463116071428567,15.0824984502516,3.98743598015903e-45,1.86183354503576e-41,91.7023063563085,"Up-regulado"
"ENO1",1.50122743055554,-0.0604532738095239,14.9336416197358,2.2453223806657e-44,8.26294894109928e-41,89.9936579900948,"Up-regulado"
"PGR",-1.46736909722221,0.181922321428571,-14.9191815920541,2.65447843050788e-44,8.26294894109928e-41,89.8281653742205,"Down-regulado"
"EIF4G1",1.48298993055554,-0.109965178571428,14.7970339053604,1.08789483924254e-43,2.90265884464756e-40,88.4336809444829,"Up-regulado"
"BASP1",1.4939954861111,-0.155994345238096,14.7246683196317,2.5017038287739e-43,5.84054030125126e-40,87.6104840296209,"Up-regulado"
"H2AC17",1.46861649305554,-0.0549455357142855,14.6726571016908,4.54534163419788e-43,9.43259396687931e-40,87.0202005767306,"Up-regulado"
"ACTR3",1.46104305555554,-0.0841220238095235,14.636428524947,6.88505381012632e-43,1.19031662104985e-39,86.6097189170652,"Up-regulado"
"H1-5",1.42749305555554,-0.0445151785714284,14.6348522903636,7.01048499841966e-43,1.19031662104985e-39,86.5918724215935,"Up-regulado"
"CRISP3",-1.42004479166665,0.0600541666666667,-14.6075580314264,9.58176207420599e-43,1.49132141883288e-39,86.283009613057,"Down-regulado"
"TXNDC5",1.42504184027777,-0.123271428571429,14.5617827778951,1.6170013694125e-42,2.32313342896287e-39,85.7657352895076,"Up-regulado"
"H3C8",1.41446944444443,-0.0649988095238094,14.519736646496,2.61284554740722e-42,3.48572259206605e-39,85.2913996713335,"Up-regulado"
"SKIL",1.41532222222221,-0.0569520833333336,14.4258866581303,7.60461367540304e-42,9.46875797436684e-39,84.2354257199407,"Up-regulado"
"ALDH1A1",-1.41023593749999,0.11886994047619,-14.292113517951,3.46333401031665e-41,4.04279308191776e-38,82.7369469402627,"Down-regulado"
"YBX1",1.44163836805554,-0.0279107142857145,14.2302283106784,6.96491539173315e-41,7.65198381008236e-38,82.0464244176323,"Up-regulado"
"H3C15",1.37874114583332,-0.0909395833333331,14.1653754713679,1.44572257224141e-40,1.50009780454183e-37,81.3246350256402,"Up-regulado"
"BGN",1.44950121527776,0.0496142857142858,14.1199525879209,2.40845079233753e-40,2.36750712886779e-37,80.8202267011999,"Up-regulado"
"H3C2",1.41538663194443,-0.0566645833333331,14.1141350443611,2.57096747700802e-40,2.38521455302921e-37,80.7556922051395,"Up-regulado"
"H3C11",1.38596562499999,-0.0589616071428571,14.1103714091184,2.68188175904125e-40,2.38521455302921e-37,80.7139500901029,"Up-regulado"
"H3C10",1.40476128472221,-0.0568005952380954,14.1050930094766,2.84551278746666e-40,2.41571101506886e-37,80.6554187347718,"Up-regulado"
"H4C12",1.42575243055554,-0.0397309523809526,14.099806228436,3.0193730140818e-40,2.45186216452199e-37,80.5968071620067,"Up-regulado"
"H3C7",1.39771545138887,-0.0200473214285717,14.049926857125,5.28015820463395e-40,4.10906311616451e-37,80.044450747882,"Up-regulado"
"SULF1",1.43114687499999,0.0991538690476194,13.9866561381646,1.07110168519775e-39,8.00198646977538e-37,79.3454421393082,"Up-regulado"
"RBPMS",-1.38173368055554,0.0917065476190477,-13.9810598230288,1.14015169874372e-39,8.19023587593713e-37,79.2837033633602,"Down-regulado"
"RND3",1.3329376736111,-0.16621755952381,13.9757953344031,1.20914973128789e-39,8.36418130787551e-37,79.2256385145297,"Up-regulado"
"DPY19L2",-1.37000052083332,0.0668282738095241,-13.9377840669491,1.8473906542943e-39,1.22937317463708e-36,78.8067725504637,"Down-regulado"
"PCM1",-1.39238871527776,0.0884520833333331,-13.9348460640747,1.90886234751166e-39,1.22937317463708e-36,78.7744250454864,"Down-regulado"
"STMN1",1.34514687499999,-0.106111607142857,13.9047740885341,2.66797140947296e-39,1.66099006715755e-36,78.4435622755785,"Up-regulado"
"APMAP",1.41426076388887,-0.147253869047619,13.8936382427794,3.0198109967204e-39,1.81938741889506e-36,78.321148454551,"Up-regulado"
"TPPP3",-1.39380972222221,0.0307571428571431,-13.8683434376267,4.00026331346582e-39,2.33477868455004e-36,78.0433033798835,"Down-regulado"
"CDKN2A",1.35643524305554,-0.0395023809523811,13.6741940203342,3.42749860053522e-38,1.93986034430898e-35,75.9207355870448,"Up-regulado"
"SPATA18",-1.36243784722221,0.0827136904761901,-13.6683696494536,3.6546302340172e-38,2.00757437884527e-35,75.8573360106024,"Down-regulado"
