"Var1","Var2","Freq"
"1","Cancer (Floating)",3
"2","Cancer (Floating)",8
"3","Cancer (Floating)",4
"1","Fimbriae.C",10
"2","Fimbriae.C",0
"3","Fimbriae.C",9
"1","FT.C",10
"2","FT.C",0
"3","FT.C",14
"1","Incidental Fimbriae",19
"2","Incidental Fimbriae",0
"3","Incidental Fimbriae",26
"1","Incidental FT",23
"2","Incidental FT",0
"3","Incidental FT",27
"1","Incidental p53sig",18
"2","Incidental p53sig",0
"3","Incidental p53sig",32
"1","Incidental STIC",20
"2","Incidental STIC",10
"3","Incidental STIC",17
"1","Inv Cancer",46
"2","Inv Cancer",87
"3","Inv Cancer",11
"1","p53 Signature.C",15
"2","p53 Signature.C",1
"3","p53 Signature.C",6
"1","STIC.C",33
"2","STIC.C",75
"3","STIC.C",21
"1","STIL.C",2
"2","STIL.C",3
"3","STIL.C",2
