"SAMPLE_ID","UMAP1","UMAP2","LESIONS_TYPES","ROI_TYPES"
"LSP15328_Scan1-001-PanCK+",2.52946128447851,2.12797061105569,"STIC.C","Epithelial"
"LSP15328_Scan1-002-PanCK+",2.33991756041845,2.22334185739358,"STIC.C","Epithelial"
"LSP15328_Scan1-003-PanCK+",1.20359267791112,2.00292268892129,"STIC.C","Epithelial"
"LSP15328_Scan1-004-PanCK+",-0.312558750311534,1.60483971734842,"Cancer (Floating)","Epithelial"
"LSP15328_Scan1-005-PanCK+",-0.416706661383311,1.25769463678201,"Cancer (Floating)","Epithelial"
"LSP15328_Scan1-006-PanCK+",-8.02079836530467e-05,1.48826066156228,"Fimbriae.C","Epithelial"
"LSP15328_Scan1-007-PanCK+",-0.794686893622081,1.36179915567239,"Fimbriae.C","Epithelial"
"LSP15328_Scan1-008-PanCK+",-0.305207828680675,1.45751944681009,"Fimbriae.C","Epithelial"
"LSP15328_Scan1-009-PanCK+",1.73147859176,2.23506418367227,"Inv Cancer","Epithelial"
"LSP15328_Scan1-010-PanCK+",-1.01275883118312,2.22554889818033,"Inv Cancer","Epithelial"
"LSP15328_Scan1-011-PanCK+",-0.97988377014796,1.38091651101907,"Inv Cancer","Epithelial"
"LSP15328_Scan1-012-PanCK+",-0.477116207281749,1.38990012307962,"Cancer (Floating)","Epithelial"
"LSP15332_Scan1-001-PanCK-",-0.268467525641124,1.91593066354593,"STIL.C","Stroma"
"LSP15332_Scan1-001-PanCK+",1.46522655089696,2.95145050187906,"STIL.C","Epithelial"
"LSP15332_Scan1-002-PanCK-",-0.9787584344546,1.70676365991433,"STIL.C","Stroma"
"LSP15332_Scan1-002-PanCK+",1.60905255873998,2.59507409234842,"STIL.C","Epithelial"
"LSP15332_Scan1-003-PanCK-",-1.10961304108302,1.34704629083474,"STIL.C","Stroma"
"LSP15332_Scan1-003-PanCK+",1.37473525603612,2.87307444711526,"STIL.C","Epithelial"
"LSP15332_Scan1-004-PanCK-",-1.40179787079493,1.5032078375419,"STIC.C","Stroma"
"LSP15332_Scan1-004-PanCK+",1.0237616499265,2.64125982423623,"STIC.C","Epithelial"
"LSP15332_Scan1-005-PanCK-",-1.35693130890528,1.60748592515786,"STIC.C","Stroma"
"LSP15332_Scan1-005-PanCK+",0.752064605553945,2.53552356859048,"STIC.C","Epithelial"
"LSP15332_Scan1-006-PanCK-",-0.995939830938975,1.50669518609842,"STIC.C","Stroma"
"LSP15332_Scan1-006-PanCK+",1.42861833175023,2.48791519304117,"STIC.C","Epithelial"
"LSP15332_Scan1-007-PanCK-",-0.835830310980479,1.56848469873269,"STIC.C","Stroma"
"LSP15332_Scan1-007-PanCK+",1.7103752096494,2.63762370248636,"STIC.C","Epithelial"
